WORD,GRAMMATICAL CATEGORY,GENDER,PTC,FUTURE TENSE CATEGORY,PAST TENSE CATEGORY
ಆಟಿಸು,V,,1R,1F,7S
ಆವರಿಸು  ,V,,1R,1F,7S
ಇಕ್ಕು ,V,,1R,1F,7S
ಇಸು ,V,,1R,1F,9S
ಇಡುಗು ,V,,1R,1F,7S
ಇಣುಕು  ,V,,1R,1F,7S
ಇಮರು ,V,,1R,1F,7S
ಇರಿ ,V,,2R,2F,9S
ಇಸು,V,,1R,1F,7S
ಇಳಿಪು  ,V,,1R,1F,7S
ಈಡಾಡು ,V,,1R,1F,7S
ಈಡೇರು  ,V,,1R,1F,7S
ಉಕ್ಕರಿಸು  ,V,,1R,1F,7S
ಉಗಿಬಗಿ  ,V,,2R,2F,9S
ಉಗು ,V,,1R,1F,7S
ಉಗುರಿಸು ,V,,1R,1F,7S
ಉಚಾಯಿಸು  ,V,,1R,1F,7S
ಉಜ್ಜು,V,,1R,1F,9S
ಉಡಾಯಿಸು  ,V,,1R,1F,7S
ಉಡುಗು ,V,,1R,1F,7S
ಉಣ್ಣು ,V,,1R,1F,8S
ಉತ್ತರಿಸು  ,V,,1R,1F,7S
ಉಪ್ಪವಡಿಸು,V,,1R,1F,7S
ಉಬ್ಬರಿಸು  ,V,,1R,1F,7S
ಉಬ್ಬು ,V,,1R,1F,9S
ಉರಿಪು  ,V,,1R,1F,7S
ಉಲ್ಲೇಖಿಸು  ,V,,1R,1F,7S
ಉಸಿರೆತ್ತು ,V,,1R,1F,7S
ಉಳು,V,,1R,1F,7S
ಊಡು ,V,,1R,1F,7S
ಊದು  ,V,,1R,1F,7S
ಎಕ್ಕು ,V,,1R,1F,7S
ಎಗರು  ,V,,1R,1F,7S
ಎಚ್ಚು  ,V,,1R,1F,7S
ಎಟುಕು  ,V,,1R,1F,7S
ಎಡತಾಕು  ,V,,1R,1F,7S
ಎಡವು ,V,,1R,1F,7S
ಎಡೆಮಡಗು  ,V,,1R,1F,7S
ಎತ್ತಾಡು,V,,1R,1F,7S
ಎಯ್ದು ,V,,1R,1F,6S
ಎರಗು  ,V,,1R,1F,7S
ಎರಚು,V,,1R,1F,7S
ಎಸಗು,V,,1R,1F,7S
ಎಳಲು ,V,,1R,1F,7S
ಎಸು,V,,1R,1F,7S
ಏಕೀಭವಿಸು,V,,1R,1F,7S
ಏಡಿಸು ,V,,1R,1F,7S
ಏರಿಸು ,V,,1R,1F,7S
ಏಳಿಸು,V,,1R,1F,7S
ಒಂಟು ,V,,1R,1F,7S
ಒಕ್ಕಲಿಕ್ಕು,V,,1R,1F,6S
ಒಕ್ಕು  ,V,,1R,1F,7S
ಒಗಡಿಸು  ,V,,1R,1F,7S
ಒಗೆ  ,V,,2R,2F,9S
ಒಡಂಬಡು,V,,1R,1F,7S
ಒಡರ್ಚು,V,,1R,1F,9S
ಒಡೆ ,V,,2R,2F,9S
ಒಣಗು ,V,,1R,1F,8S
ಒತ್ತರಿಸು  ,V,,1R,1F,7S
ಒದಗು,V,,1R,1F,7S
ಒದರು ,V,,1R,1F,7S
ಒನೆ  ,V,,2R,2F,9S
ಒಪ್ಪಮಾಡು,V,,1R,1F,7S
ಒರಗು ,V,,1R,1F,7S
ಒರಸು ,V,,1R,1F,7S
ಒಸೆ ,V,,2R,2F,9S
ಓಗಡಿಸು  ,V,,1R,1F,7S
ಓಲಗಿಸು ,V,,1R,1F,7S
ಓಲಾಡು,V,,1R,1F,7S
ಓಲು ,V,,1R,1F,7S
ಓಸರಿಸು  ,V,,1R,1F,7S
ಕಂಕಣಕಟ್ಟು ,V,,1R,1F,8S
ಕಂಗಾಲಾಗು  ,V,,1R,1F,8S
ಕಂಗೆಡು ,V,,1R,1F,5S
ಕಂಟಿಸು,V,,1R,1F,7S
ಕಂಡರಿಸು  ,V,,1R,1F,8S
ಕಂಪಿಸು ,V,,1R,1F,7S
ಕಂಬಿಕೀಳು,V,,1R,1F,4S
ಕಕ್ಕು,V,,1R,1F,6S
ಕಡಂಗು,V,,1R,1F,7S
ಕಡೆಗಣಿಸು ,V,,1R,1F,7S
ಕಡೆಹಾಯಿಸು,V,,1R,1F,7S
ಕತ್ತರಿಸು  ,V,,1R,1F,7S
ಕದಕಧಿಸು,V,,1R,1F,7S
ಕದಡು  ,V,,1R,1F,7S
ಕದರ್ಥಿಸು ,V,,1R,1F,7S
ಕದಲು,V,,1R,1F,7S
ಕದಿ,V,,2R,2F,6S
ಕನ್ನಡಿಸು ,V,,1R,1F,7S
ಕಬಳಿಸು,V,,1R,1F,7S
ಕರಂಗು,V,,1R,1F,6S
ಕರಗು,V,,1R,1F,7S
ಕರಟು ,V,,1R,1F,7S
ಕರ್ಚು  ,V,,1R,1F,7S
ಕರ್ಗು  ,V,,1R,1F,7S
,, ,,,
